date,useruuid,admin2,distance_travelled,number_of_pois,radius_of_gyration,time_at_home,latitude,longitude,time_coverage,urban,poverty
02/01,264d176bd4d4152feb46bc8c22c5bca4f84c25f14880e4a50b617ea297da8d05,CIV.1.,0,1,-1,27398,5.3421,-4.04846,27398,1,8
02/01,267774a3ef8e28560078aef8e74f4251a10676caf0f55184f14636f370dbea38,CIV.1.,2.745,2,0.432,63138,5.3421,-4.02649,68396,1,8
02/01,268cd764202f0013351640cabd555c40bdc44e8468bab8b17a81550101fde781,CIV.1.,6.083,1,0,1713,5.38026,-3.98984,7826,1,8
02/01,2692148a643427dd5b47994eb4804f446d0d64534fea1bf7629266be9d32c02e,-1,0,0,-1,-1,,,0,-1,-1
02/01,26b64d82b8c61a7207ad54a3a579088af9b51dad2dbcfed86d158a750a5aadd8,CIV.1.,5.727,2,3.86,15829,5.36407,-3.99353,17735,1,8
02/01,2722b8e5580050493aaf2b5ddb86f8d59b7163075b5ce61c421683a5504d1285,CIV.1.,3.722,1,0,7445,5.30031,-3.96751,14434,1,8
02/01,276c184fd75a8b9c6e69be4d895206093c92554d5199046eb23dc0b33cc84dd0,-1,0,0,-1,-1,,,0,-1,-1
02/01,27d1c050fb24aa2ff069d2446c04862811582683f0d3e7b014866b6afc449054,CIV.8.,6.603,1,0,22195,7.41036,-7.53268,42261,1,7
02/01,27d6f5b8ac61a2664feb3523420879b70e0ab8af311785479dcd142faed21160,CIV.2.,80.301,2,0.819,32881,4.74626,-6.64114,36852,1,7
02/01,290f48384adbd1c727b038920afaeee90f3550f035d2b9e51a57d1f2c508fae2,-1,0,0,-1,-1,,,0,-1,-1
02/01,2a21a7993f286f1ec48576ceca199d4f2923f6aaf05f42210ebca6f7c4965bce,CIV.1.,6.216,2,2.864,8595,5.31778,-4.01793,16261,1,8
02/01,2a5ebc273984321e8bc5ed3daae23b8733041ae05f865c02ea8fff25d4ac8a6a,CIV.1.,0.39,1,0,72727,5.456,-3.84714,74937,0,6
02/01,2a85fa17c0fb365f3f0af9d9cd41dc13f69278a0e07cdba771adc6e6e980d331,CIV.1.,0.292,1,0,1070,5.34081,-4.07197,35353,1,8
02/01,2b1c51080bb967d6aa098d8ef918e8f7645a386e4d040309c2edc00fc80aa37f,CIV.1.,0.153,1,0,47473,5.39325,-3.98793,47473,1,8
02/01,2b5e8ac20fa7a78d14b11e69def101d2434b4125df8c982bdea20acfcbfef334,CIV.1.,1.008,2,0.058,27873,5.32788,-4.07549,45742,1,8
02/01,2b63c606cf998613d37ae932eca38975fd3a8ff7aeb7534973959d7fa369da59,CIV.1.,2.329,1,0,23987,5.36957,-3.97156,33740,1,8
02/01,2b850dc01fce1b3b9169b02a8308f567892a3966eadabc7ad4ca7718f3ca6941,CIV.1.,20.823,2,0.86,4312,5.30914,-3.99353,21852,1,8
02/01,2be1c3cc26d6cb35baece9df492401eac8dd22e88e429ec13d7c66b484d0a25c,CIV.1.,3.821,1,0,65687,5.44098,-4.02649,66478,1,8
02/01,2c1a166621df0ec7a22abab4baa12716e2d34cf2f0848a1608a000a830f8904d,-1,8.811,0,-1,-1,,,1597,-1,-1
02/01,2c5b03a2f41c642f67a56a9c7f3353aba748119d82fcce1c2de34dbb7a07c586,CIV.1.,0.364,2,0.062,3311,5.33035,-3.99444,5472,1,8
02/01,2c64f3a0111f35239efcf787fe8508a1837350aa37225d298c5b08ad073145e2,-1,0,0,-1,-1,,,0,-1,-1
02/01,2c75e70f2ad5c203c6bb5f1f1736c365f78573a9da1a27db5378445ae9a6a1b9,CIV.11.,5.928,1,0,19437,7.71688,-5.01747,22523,1,7
02/01,2ce2c2ab620a2bc555bd30b3c1bd87527dd76a1b374b0a160f6cf39f0b6c16df,CIV.1.,61.913,3,0.496,24040,5.37506,-4.02649,77768,1,8
02/01,2d8961b930329b83b25bb44ad138f5b9253ad476c9d7de5e72c2b7f9008031f2,-1,0,0,-1,-1,,,0,-1,-1
02/01,2dc3569c3b68d573e0b5b49d235a243836c0dbb8eca5f0861406e339d2cc362b,CIV.1.,87,2,7.867,64064,5.39154,-3.98254,73394,1,8
02/01,2dfc7a8ec129fb308e74ca146377dca68a619d84405c82525664e4d9ea4d0bbf,CIV.1.,13.729,3,0.305,22498,5.29816,-3.96057,42183,1,8
02/01,2e2ec6698ee93a8354f30a228b672da29c1c3fcc7069a3c87f212dba9af103b4,CIV.14.,0,1,-1,50674,8.04474,-2.79602,50674,1,7
02/01,2e9053daba12a853e7548b1dbc660548765cad9c3531883992f7fc55b496c46b,-1,2,0,-1,-1,,,28081,-1,-1
02/01,2f709f5d7c49acdf3673b12d8754e0a4b6f37f9b4869f4b080f9480120620120,CIV.1.,74.361,3,13.914,64763,5.38055,-4.09241,77267,1,8
02/01,30cbf7cfb4a755cf47209eb310e5878ccbb90bc8547d3149b1757338a90ebc3e,CIV.1.,51.479,1,0,57237,5.24066,-3.87251,95041,1,8
02/01,310f2388b9a59a6d87482ac745e9794ec6fabfb70a336fe546e950d53b415bfc,CIV.1.,7.516,1,0,865,5.27811,-3.99467,57819,1,8
02/01,3123f671d645386a764dbfdb3c14cd53da58361a2f000fda260716ae1aad8550,-1,3.078,0,-1,-1,,,35869,-1,-1
02/01,3129710db5b6d58b5620bed0fb53e5af158b4805402472d351b60b3950b1089e,-1,0.284,0,-1,-1,,,59326,-1,-1
02/01,332b8eeb2dd5b97c5b3d3afc4a21e9c022d032fb02f10c89b72924d9759539be,CIV.1.,43.93,3,2.534,6329,5.35441,-4.03299,32753,1,8
02/01,349e5da388d30d6d06bd7179e64b82f1999b57bbcd4e1829a277784ecfa2b91c,CIV.1.,80.454,3,9.748,13683,5.38605,-3.92761,111330,1,8
02/01,3610b7490fff94e757bc1dd668cdd4b5df987a98792fa549cbc57fa77c94d138,CIV.1.,8.412,1,0,6445,5.34715,-4.00406,13349,1,8
02/01,370d47c69e923ba88695170caa7fdcb2c9432919586f856ebedfad19c3386345,CIV.5.,0.224,1,-1,15063,6.1552,-5.94424,15063,1,7
02/01,37d0d204626f5098f831fffbd5fe44e45f3197478dfccfa0bcd7eb73a96c1f1a,CIV.3.,0.034,1,-1,15221,5.15335,-3.40404,15221,0,6
02/01,37d8b125f84635e8e2e9886d1ff2b9d76b0c6c187ab104a6458ffefd997fe034,CIV.1.,1.426,2,0.864,39547,5.48492,-4.04846,65114,1,8
02/01,3819876a71c89fbcbe23c3eb2144b373dae81c6eaa83d3aae6d8913fd7ba4745,-1,29.698,0,-1,-1,,,82106,-1,-1
02/01,387066773d79b831b724a797ea8d21f9593f13f8022e5efa701e389e6d011bad,CIV.11.,0.568,2,0.297,18920,8.36508,-4.4322,19665,1,7
02/01,389a6ea1b263bd59125d0fca8f34e0f23ee4a0363455eb41ac2fbea848c582d4,-1,55.122,0,-1,-1,,,16069,-1,-1
02/01,38c632a0997c275a1562696cf218395f1152305566f940cb0eeae3e4861ac986,-1,0,0,-1,-1,,,0,-1,-1
02/01,39ad50145161507c1a8e5814ab83deb07c46a84e960bb76999b46f183c1b995d,-1,0.104,0,-1,-1,,,62846,-1,-1
02/01,3a38d99d1e39c7501b13d5c058205d818437630b60db026718dc8b9350345de2,-1,20.047,0,-1,-1,,,164184,-1,-1
02/01,3a979cdc7919072a60ee86c1d897826d798eb7ab4990bf290d3766c26f3505c1,CIV.1.,74.723,3,0.413,13099,5.37245,-3.95686,115962,1,8
02/01,3b0b656f755e320dc470a78b750e2e6013173d991557044b9cf4654498fc0f57,CIV.10.,116.671,1,0,29256,9.82452,-6.22375,57988,1,6
02/01,3b25335bc2f921dbc68506db587770ce6c846ed93b77e36480b01ad1a456c453,-1,15.365,0,-1,-1,,,23565,-1,-1
02/01,3c4917ef7ad6916c9e9e0c892e1c2cb927cd7a70f748696fdb65b886d10daa25,CIV.6.,18.235,5,2.853,23618,6.66191,-4.683,63811,0,7
02/01,3cf4206f9e9890933f00a3f90ee0a2b15f5b99e6cac2793c658a8222a2645a85,CIV.1.,21.943,2,0.372,27616,5.29816,-3.97156,52942,1,8
02/01,3e9632778b5576709cc2d5406409c0f8b785ae5e7609f1fdfd85e5c676dcc0a1,CIV.11.,334.302,2,195.047,22743,7.58852,-5.04969,59583,0,6
02/01,3f30a08bb0d5bf52aaf9be24b4a1fd2d1a47e2aad2de5312d0fca4759da1f4f9,-1,0,0,-1,-1,,,0,-1,-1
02/01,3f7ebb9adbc1527763d25eddcf18c31d31cd762930e1f0afed7e9fbf03beaa96,CIV.1.,119.878,1,0,4085,5.33133,-4.02034,73051,1,8
02/01,3f832115bb91199099057fd24b95aa8ab8dc7fc830576ef19d7ef029099f382f,CIV.1.,2.024,1,0,19450,5.40017,-3.98046,19953,1,8
02/01,3fc89059711758f116da791722bb5f47af9f53238bd7eb76a64dfad7faa87c61,-1,0,0,-1,-1,,,0,-1,-1
02/01,4024024f1fd75b6173fbd826f7d35edf4976cbfae336af9256d4a505cd065e35,CIV.1.,22.541,1,0,3790,5.35543,-3.89701,44167,1,8
02/01,4026eca7f0df1bb730447d3c2052acc5e41033446d5b6a4b2be20c6cabdeedd1,CIV.1.,2.068,1,0,22734,5.36838,-4.00764,23121,1,8
02/01,404315f425582ec31336bb2938edaa27d38d14d0ca2126f2677098a6abf06472,CIV.1.,0,1,-1,82218,5.36957,-3.97156,82218,1,8
02/01,40644551c1ff5d163a6f8fde5c3d0ec713ee0b2ca4cb7fe59af3a83ea94bae50,CIV.1.,0.949,1,0,76346,5.48133,-4.15828,77685,1,7
02/01,409bc2d42c60f4aee70cbca101361dfca15bb35b7abe911b44e4c63c6f87ec9c,CIV.3.,189.675,6,9.892,46526,5.22125,-3.74084,77208,1,8
02/01,40b1776c96dfd3777f0f64b94a1fa1f87fb6ef9f3d1a0d57a8da774d4395d3db,CIV.3.,4.103,1,0,4296,6.7345,-3.48945,24464,1,7
02/01,41b79065d9c239454f51f740fc405340d28b0a50df4ffe481942afa0e53bfce6,CIV.1.,2.856,3,1.093,38775,5.5069,-4.04846,43592,1,8
02/01,420d1af26798d115492bd09cb06ee601d89844a16cfb2e25cde7be80486ccddf,-1,0.673,0,-1,-1,,,2802,-1,-1
02/01,4344779858263d3206b98f121bf39be152dafd831dbebaf90cbd0399d8408490,-1,161.37,0,-1,-1,,,155054,-1,-1
